OBJECTID,X,Y,Area,Demand
282,29.067885725,40.965011455,0.0,77.5628824235
283,29.072082664,40.964582789,0.0,181.780561447
284,29.076249326,40.964582789,0.0,189.742090225
285,29.081569098,40.964783727,0.0,94.8886089325
286,29.08458265,40.964582789,0.0,223.442428589
287,29.088749311,40.964582789,0.0,126.232988358
288,29.092915973,40.964582789,0.0,127.009981156
289,29.097045676,40.964331616,0.0,166.626598358
290,29.101249297,40.964582789,0.0,256.597509384
291,29.085082649,40.964916122,0.0,131.503553391
292,29.057205243,40.965307528,0.0,47.9775533675
293,29.062916008,40.965416122,0.0,60.593676567
294,29.06708267,40.965416122,0.0,125.417140961
295,29.071249332,40.965416122,0.0,235.884183884
296,29.074676821,40.964969598,0.0,140.38677597
297,29.079981808,40.965617057,0.0,91.4619579315
298,29.083749317,40.965416122,0.0,173.207881928
299,29.089726953,40.966392884,0.0,132.884567261
300,29.092858773,40.965918458,0.0,177.764724731
301,29.096249303,40.96573706,0.0,117.388685227
302,29.102374773,40.966169625,0.0,205.919670105
303,29.078799212,40.964850085,0.0,81.5802440642
304,29.055855245,40.96704425,0.0,47.0394997598
305,29.058749346,40.966249454,0.0,162.733151436
306,29.062916008,40.966249454,0.0,122.475857735
307,29.06708267,40.966249454,0.0,176.492133141
308,29.071249332,40.966249454,0.0,136.894109726
309,29.077485679,40.965398275,0.0,187.823097229
310,29.081090568,40.966785273,0.0,186.610990524
311,29.083054494,40.966003869,0.0,269.509901047
312,29.087101831,40.966305269,0.0,129.853721619
313,29.090898201,40.965481998,0.0,177.109874725
314,29.094621359,40.965900611,0.0,117.023666382
315,29.099582632,40.966249454,0.0,99.9672870635
316,29.075488501,40.966861858,0.0,124.517352104
317,29.041715706,40.966725577,0.0,61.3076515198
318,29.051587964,40.966814879,0.0,137.299601555
319,29.058749346,40.967082787,0.0,162.289193154
320,29.062916008,40.967082787,0.0,120.536024094
321,29.06708267,40.967082787,0.0,232.221493721
322,29.070159052,40.96627348,0.0,140.579853058
323,29.077099345,40.966604879,0.0,88.3919639587
324,29.080087949,40.967546085,0.0,142.759822845
325,29.083749317,40.967082787,0.0,167.282674789
326,29.088063813,40.967724644,0.0,121.646696091
327,29.092082641,40.967082787,0.0,174.840633392
328,29.096249303,40.967082787,0.0,159.796863556
329,29.101875831,40.967836271,0.0,142.926618576
330,29.042648746,40.967803034,0.0,58.12945652
331,29.040416035,40.967916119,0.0,79.1388540267
332,29.051169661,40.969228834,0.0,143.886539459
333,29.057082682,40.967916119,0.0,180.534545898
334,29.061249344,40.967916119,0.0,167.181848526
335,29.065416005,40.967916119,0.0,83.7409944535
336,29.069582667,40.967916119,0.0,91.6808662415
337,29.072936239,40.967274264,0.0,92.278125763
338,29.078276915,40.967561835,0.0,86.55270195
339,29.082082652,40.967916119,0.0,161.911581039
340,29.086083,40.967846352,0.0,116.517642975
341,29.089972472,40.967678913,0.0,169.833154678
342,29.094582638,40.967916119,0.0,163.824066162
343,29.100024374,40.968460296,0.0,150.132823944
344,29.074826807,40.96822765,0.0,173.703237533
345,29.033440969,40.968749451,0.0,110.742938995
346,29.03924966,40.969275248,0.0,150.290533066
347,29.044749363,40.968749451,0.0,85.7373390197
348,29.05291602,40.968749451,0.0,162.193382263
349,29.057082682,40.968749451,0.0,132.564380646
350,29.061249344,40.968749451,0.0,162.840192795
351,29.065416005,40.968749451,0.0,89.3764648438
352,29.069582667,40.968749451,0.0,95.7922210693
353,29.073749329,40.968749451,0.0,143.621494293
354,29.077915991,40.968749451,0.0,141.176042557
355,29.082082652,40.968749451,0.0,160.567119598
356,29.085436224,40.969000607,0.0,115.433729172
357,29.088862302,40.968916888,0.0,164.286563873
358,29.092622067,40.968414575,0.0,116.054191589
359,29.097915967,40.968749451,0.0,159.048135758
360,29.072148107,40.969540617,0.0,77.1429042815
361,29.037173339,40.969517379,0.0,117.874624252
362,29.041195656,40.969405615,0.0,111.257873535
363,29.042620544,40.969073778,0.0,77.6528949737
364,29.049582691,40.969582784,0.0,130.995033264
365,29.053749352,40.969582784,0.0,183.935043335
366,29.057916014,40.969582784,0.0,138.195968628
367,29.062082676,40.969582784,0.0,220.551347733
368,29.066249338,40.969582784,0.0,162.450716019
369,29.070415999,40.969582784,0.0,99.6754817962
370,29.074582661,40.969582784,0.0,149.97164917
371,29.079543357,40.969446524,0.0,247.256515503
372,29.082915985,40.969582784,0.0,161.501859665
373,29.087082647,40.969582784,0.0,112.888025284
374,29.091249308,40.969582784,0.0,111.254585266
375,29.095951871,40.969540925,0.0,161.469120026
376,29.100432681,40.970447862,0.0,98.0736560822
377,29.047968791,40.970204801,0.0,131.394155502
378,29.040325205,40.970576137,0.0,227.273555756
379,29.043896743,40.970514344,0.0,198.378753662
380,29.048441862,40.971737711,0.0,187.85700798
381,29.05291602,40.970416116,0.0,182.179941177
382,29.057082682,40.970416116,0.0,140.555803299
383,29.061249344,40.970416116,0.0,274.255903244
384,29.065416005,40.970416116,0.0,195.754447937
385,29.069582667,40.970416116,0.0,252.553554535
386,29.073749329,40.970416116,0.0,117.468738556
387,29.077915991,40.970416116,0.0,252.324134827
388,29.082082652,40.970416116,0.0,159.916099548
389,29.086249314,40.970416116,0.0,108.110067367
390,29.090415976,40.970416116,0.0,106.492511749
391,29.094508721,40.970723077,0.0,110.686206818
392,29.098582986,40.970206824,0.0,149.071659088
393,29.049933309,40.971109571,0.0,160.855265617
394,29.042916032,40.971249448,0.0,234.21434021
395,29.046609623,40.970606509,0.0,182.54665184
396,29.051864347,40.970945839,0.0,233.448921203
397,29.055416017,40.971249448,0.0,187.82800293
398,29.059582679,40.971249448,0.0,257.772977829
399,29.063749341,40.971249448,0.0,244.804416656
400,29.067916002,40.971249448,0.0,396.493061066
401,29.071967168,40.971772669,0.0,125.940658569
402,29.076162704,40.970115789,0.0,116.974916458
403,29.080415988,40.971249448,0.0,154.649429321
404,29.08458265,40.971249448,0.0,154.657785416
405,29.088749311,40.971249448,0.0,102.352521896
406,29.092934453,40.970049512,0.0,111.215732574
407,29.097858767,40.971486642,0.0,105.694536209
408,29.077735052,40.972062398,0.0,212.988815308
409,29.042082699,40.972082781,0.0,140.033845902
410,29.046249361,40.972082781,0.0,216.014867783
411,29.050924574,40.972270301,0.0,275.635238647
412,29.054582685,40.972082781,0.0,177.791603089
413,29.058749346,40.972082781,0.0,251.485630036
414,29.061245477,40.972038133,0.0,258.797588348
415,29.067313662,40.97206534,0.0,286.985477447
416,29.069355201,40.971943257,0.0,257.644786835
417,29.075300498,40.971079942,0.0,124.756244659
418,29.079582655,40.972082781,0.0,104.141866684
419,29.083749317,40.972082781,0.0,100.464757919
420,29.087915979,40.972082781,0.0,102.131280899
421,29.09295117,40.971454918,0.0,106.968050003
422,29.096267782,40.971357251,0.0,113.193128586
423,29.076150997,40.973113728,0.0,151.172777176
424,29.041249367,40.972916113,0.0,140.164487839
425,29.045061226,40.972889325,0.0,209.872209549
426,29.049582691,40.972916113,0.0,228.794219971
427,29.053749352,40.972916113,0.0,234.091434479
428,29.057916014,40.972916113,0.0,201.512786865
